,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.6018869864433893,75.13634143117449,75.98962366002519,0.5,205
bicycle,0.47538872287683726,46.51449424424661,74.21572929128139,0.5,250
bird,0.4963646512309311,56.18916771798391,67.07236709987244,0.5,289
boat,0.4232850762270371,38.726455746366426,64.7015523984541,0.5,176
bottle,0.2734655283436991,18.870100818937406,4.655867061263316,0.5,240
bus,0.5240687873607738,57.38850934280356,72.7081874278687,0.5,183
car,0.4834181454920413,51.34220494216094,64.52664754762003,0.5,775
cat,0.5033731681857149,50.23619610855828,68.68355852043408,0.5,332
chair,0.2969441462511956,17.249061896374013,3.603679679503831,0.5,545
cow,0.5252153293734666,49.6047031760202,33.67059953241342,0.5,127
diningtable,0.4698638438355625,42.01632996023168,23.37282166893811,0.5,247
dog,0.48962720514391816,52.63169989229921,33.95166424367164,0.5,433
horse,0.5726095396644415,71.13709525975793,77.18506164647872,0.5,279
motorbike,0.5285853000393089,61.30251242065573,71.4744769782791,0.5,233
person,0.44755218730937946,46.406720957454375,64.8632034080068,0.5,2097
pottedplant,0.27589077253556016,13.729346419994274,3.2157656584749916,0.5,254
sheep,0.4477867994010761,43.247557313647036,23.113440149877885,0.5,98
sofa,0.47962930196775755,46.48776626584455,67.54218736493203,0.5,355
train,0.5540198569053411,65.26174244103044,73.58044639293233,0.5,259
tvmonitor,0.27226184849860724,14.30638358849535,59.3477493841776,0.5,255
mAp,51.37373145572528,51.37373145572528,51.37373145572528,51.37373145572528,51.37373145572528
