,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.6049013266862521,71.336491979238,63.99940956602009,0.5,205
bicycle,0.487579009944859,46.62378496859732,26.529793387390736,0.5,250
bird,0.46994349534003915,41.80777329696875,20.92500324952545,0.5,289
boat,0.4361063277193413,39.99651800837326,20.747886948523426,0.5,176
bottle,0.24774872427915084,14.930132935658785,7.407848169424527,0.5,240
bus,0.5370132410342361,54.32451238748879,40.78472509070043,0.5,183
car,0.4819299455769181,53.28995494560408,48.6684994086587,0.5,775
cat,0.5241399433552024,57.74962959873372,71.45088282677507,0.5,332
chair,0.29986128524372063,17.903040488913373,4.166733013213323,0.5,545
cow,0.48264487279758905,45.713728409503474,36.30996217114439,0.5,127
diningtable,0.478961874818331,45.038781234328724,25.715508296058164,0.5,247
dog,0.48719396625948214,52.8831241531724,66.04799572391991,0.5,433
horse,0.5857118977513912,72.12918035672833,80.46367543229567,0.5,279
motorbike,0.5166846397751965,52.22749254550496,38.12365724553584,0.5,233
person,0.4244777123364821,43.01853215631567,25.12336754620942,0.5,2097
pottedplant,0.25848229266726286,23.76252360965397,15.041015241394366,0.5,254
sheep,0.4662807092405459,47.08588397141767,63.83297953194669,0.5,98
sofa,0.4760278649270341,46.26704877593142,65.24975616051962,0.5,355
train,0.5713408366188726,67.2650551794857,73.77860921486881,0.5,259
tvmonitor,0.2979203320182488,17.989434701176005,4.392888936718007,0.5,255
mAp,39.938009858042136,39.938009858042136,39.938009858042136,39.938009858042136,39.938009858042136
