,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.6026051176371967,68.72616763464887,76.39979791956367,0.5,205
bicycle,0.4734418576214954,49.99992702526054,62.035389922595776,0.5,250
bird,0.5063711280668,51.109733847458536,46.911738253201655,0.5,289
boat,0.437430047482877,50.951541029802485,62.1588738315959,0.5,176
bottle,0.26185907969412386,14.480526929218577,3.1398442561871804,0.5,240
bus,0.5232319843301958,66.3784272756999,69.63840330495263,0.5,183
car,0.48449152860553774,50.100699949060434,36.610056707874335,0.5,775
cat,0.5138499957954596,60.14158584274954,66.83249634425836,0.5,332
chair,0.298830114160339,18.532532970033195,4.03095339698631,0.5,545
cow,0.4915179113767797,48.970358168524974,29.567674830950146,0.5,127
diningtable,0.4875055326915172,57.63427990686048,64.1188443082197,0.5,247
dog,0.46318097157429994,44.091636245350045,23.384754757128853,0.5,433
horse,0.572025602570048,64.57989686184527,78.11069811486088,0.5,279
motorbike,0.5372315516531493,63.42916194570378,75.34174662602162,0.5,233
person,0.43126822763927397,41.27131842398019,31.184298263073263,0.5,2097
pottedplant,0.27508591836273255,22.22235979958703,62.60899723496328,0.5,254
sheep,0.4676940171232549,39.345939904593685,69.60439683503596,0.5,98
sofa,0.4796816103051736,43.70405169254945,33.902126059391804,0.5,355
train,0.5299387451385329,61.01655878922754,68.66927232468183,0.5,259
tvmonitor,0.2709233710621492,12.857540013794145,14.85291348763944,0.5,255
mAp,48.95516383895913,48.95516383895913,48.95516383895913,48.95516383895913,48.95516383895913
