,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.38268581913408073,30.36276338251693,27.631093590873405,0.5,205
bicycle,0.3858096058915219,38.457515769089206,26.212314207412966,0.5,250
bird,0.4229489038468857,39.65345625717414,19.982424984540295,0.5,289
boat,0.3324635959440371,25.78285569395081,12.790485764888176,0.5,176
bottle,0.20148739131419274,13.72232221721896,58.56446528768636,0.5,240
bus,0.4370887532402837,40.46424860747974,72.36694250733044,0.5,183
car,0.3668095479719004,34.382461142557766,62.102034325984555,0.5,775
cat,0.4088358909849341,39.26893709153665,59.049647449092944,0.5,332
chair,0.2702938983175342,18.698199770538608,59.08395483286708,0.5,545
cow,0.40374738174264324,34.41402692930548,14.815749769711243,0.5,127
diningtable,0.475791404967964,52.556386550615265,62.483851828761786,0.5,247
dog,0.3962750914490656,32.647137791734195,60.492036481904066,0.5,433
horse,0.4294996835147433,42.0848089423279,60.741118484093505,0.5,279
motorbike,0.4360626898000734,39.13080195434699,18.631709080648818,0.5,233
person,0.38057825128534656,32.52533356693531,68.83530676918957,0.5,2097
pottedplant,0.20602449739852927,11.164234364459809,1.7187849107135933,0.5,254
sheep,0.40613677953470795,28.58364068900025,13.811737712836619,0.5,98
sofa,0.40356551223774534,41.291601229565664,59.1121197774882,0.5,355
train,0.4249293662520445,31.70550358279767,69.71849026964689,0.5,259
tvmonitor,0.2523899970527575,10.922513574966747,2.589282788001325,0.5,255
mAp,41.5366775411836,41.5366775411836,41.5366775411836,41.5366775411836,41.5366775411836
