,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.5909101369979282,70.71331710269216,65.53870885606572,0.5,205
bicycle,0.45090992724494483,37.73248700382306,17.84016193355442,0.5,250
bird,0.4807293536264152,49.47397857671561,67.84069757497726,0.5,289
boat,0.3995172078961726,27.794801236804563,11.261058779607692,0.5,176
bottle,0.2321970893034973,11.146299606759959,2.1693227361838026,0.5,240
bus,0.5357197290314454,50.05447685838518,39.067754177839895,0.5,183
car,0.4419001850684175,47.43244056768431,64.48963518225831,0.5,775
cat,0.5146723181056173,60.106314958667504,64.84923642189419,0.5,332
chair,0.2897352309197748,17.43802463318214,65.55557195706272,0.5,545
cow,0.474109449174528,46.36173813892724,26.48351701084244,0.5,127
diningtable,0.49773965596529823,48.10348954813183,66.91863359903691,0.5,247
dog,0.46980480836613026,52.37611748834238,61.96625244988553,0.5,433
horse,0.5723885370308956,71.66617037657572,74.81797024717511,0.5,279
motorbike,0.5071065913607488,50.62402598477932,31.953120566107618,0.5,233
person,0.44502270701682484,42.66173710130012,22.492901219924025,0.5,2097
pottedplant,0.23383138309477194,12.004019933585887,4.978238644232243,0.5,254
sheep,0.44383617398179315,34.81066809923675,16.422924750472383,0.5,98
sofa,0.4644281989855606,41.09847410519125,21.582646910177825,0.5,355
train,0.5556935489485116,66.36609723495937,71.88930736287844,0.5,259
tvmonitor,0.30218074652604443,15.874727764674601,3.8209948849858106,0.5,255
mAp,40.09693276325812,40.09693276325812,40.09693276325812,40.09693276325812,40.09693276325812
