,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.5830744174334009,69.54514082097238,76.80108856635613,0.5,205
bicycle,0.4329486117604845,34.75667538116719,16.174742168873824,0.5,250
bird,0.4597708466330495,48.13068962506695,33.21397770113544,0.5,289
boat,0.4111857553709611,33.048071939027736,18.03505392593388,0.5,176
bottle,0.2299221058043908,15.409515743444716,25.175858476634076,0.5,240
bus,0.48893842812551747,46.38349737374219,31.843232160977063,0.5,183
car,0.4538231315069448,45.41900070336675,23.151390374592843,0.5,775
cat,0.4858009935497566,55.958384928964755,64.65843541620288,0.5,332
chair,0.2792823970757602,16.359602637546903,4.901328785718734,0.5,545
cow,0.4471258853951984,39.91607735180416,22.246461533142977,0.5,127
diningtable,0.4962616333636212,48.832775541081226,34.455323009474895,0.5,247
dog,0.4736894103235965,49.62567635380658,39.48632968259136,0.5,433
horse,0.5519114123488957,69.02781254293512,74.07227953490161,0.5,279
motorbike,0.4727630089912187,43.450540242560216,23.270821067812783,0.5,233
person,0.3636462275001076,29.052053330578687,61.537779232253875,0.5,2097
pottedplant,0.22793886416150871,12.134471362664355,6.750215941159024,0.5,254
sheep,0.4438385660834558,37.102632247341134,20.246801749597637,0.5,98
sofa,0.4634768228486662,43.42771727530017,25.149400663114985,0.5,355
train,0.5421499650520949,61.09000161347268,69.84226096805295,0.5,259
tvmonitor,0.27821153946474414,11.08829873273867,2.938534221148564,0.5,255
mAp,33.697565758983785,33.697565758983785,33.697565758983785,33.697565758983785,33.697565758983785
