,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.5560731031615365,62.31896906924248,74.25421987194322,0.5,205
bicycle,0.3961212041011006,34.979199318401506,18.77598874567695,0.5,250
bird,0.4475117040883808,41.73537304757147,21.297303140409905,0.5,289
boat,0.3787573252379145,29.986536058971396,17.708816378727764,0.5,176
bottle,0.19797520156147447,9.50688790197236,1.859908613990982,0.5,240
bus,0.45634661791155506,44.5385647602778,25.70164370088876,0.5,183
car,0.4400313658452787,45.46204804207454,66.39368050651079,0.5,775
cat,0.47208648066577186,44.207667741947965,24.326336163846392,0.5,332
chair,0.26719853515732717,18.095325941484347,4.2965751168699144,0.5,545
cow,0.4345371129976936,40.5654795236335,64.78415996446738,0.5,127
diningtable,0.4476553449114692,40.21109053656253,71.85814709813367,0.5,247
dog,0.4720356868859341,47.758079206388004,30.14804524141535,0.5,433
horse,0.48422316744991706,50.99593214073457,30.599792381815945,0.5,279
motorbike,0.4691294331198864,50.411392190077706,62.254854556412255,0.5,233
person,0.34629866527629033,26.563122474355062,22.06508148104504,0.5,2097
pottedplant,0.21812085224527972,10.806924531012251,1.8175522481419526,0.5,254
sheep,0.40467956118384013,29.442715303899075,12.450613836126271,0.5,98
sofa,0.4620885851086848,44.21983502965017,25.305429453907063,0.5,355
train,0.513994602173876,56.09209504436268,73.68158738400238,0.5,259
tvmonitor,0.269248072548401,8.751154561064613,3.8614448064997817,0.5,255
mAp,32.67205903454159,32.67205903454159,32.67205903454159,32.67205903454159,32.67205903454159
