,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.6006960632790176,70.53070972435077,56.24609560717092,0.5,205
bicycle,0.47879858076868914,45.275493401020675,23.644763890739355,0.5,250
bird,0.4957718196891133,52.49205979220489,45.59912636091143,0.5,289
boat,0.44598486509175217,42.62629153022264,26.518747857309936,0.5,176
bottle,0.2517935119947246,15.469585273176564,3.4772157482249795,0.5,240
bus,0.48920917638155026,51.167063662223086,68.62035607671,0.5,183
car,0.49010485323123293,53.58700706170419,66.9939374958046,0.5,775
cat,0.5268797882973529,53.25440906226451,33.73685379249976,0.5,332
chair,0.28928086169132883,15.555462809897556,4.307034911276648,0.5,545
cow,0.4344001382938365,36.62358457667301,17.468813816892613,0.5,127
diningtable,0.5096182247508955,52.01569881479057,68.16144358234041,0.5,247
dog,0.4912429318418893,55.98016476221383,45.12799007964744,0.5,433
horse,0.5634990007505273,62.98168742845066,76.24687228067775,0.5,279
motorbike,0.5184286265696527,60.20256806721116,45.155707162167595,0.5,233
person,0.4203743677662203,38.104288620372856,20.395377110177986,0.5,2097
pottedplant,0.2770319408778456,18.940003648816074,4.76518691553003,0.5,254
sheep,0.48767804872571596,47.40148169136025,66.25860154748192,0.5,98
sofa,0.48398341688657076,51.278664817602646,63.877417583667864,0.5,355
train,0.5596351083460234,64.58695246539993,76.45361766864195,0.5,259
tvmonitor,0.28137403276719203,17.297754361155356,15.437388835587129,0.5,255
mAp,41.424627416173024,41.424627416173024,41.424627416173024,41.424627416173024,41.424627416173024
