,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.5654634805859189,68.41901689238293,72.5817091956642,0.5,205
bicycle,0.452028484096672,41.592332276330595,62.614988858700784,0.5,250
bird,0.4543623663252167,38.890217231945826,22.010513869404527,0.5,289
boat,0.39981400449441346,37.67612167035388,18.44457453861377,0.5,176
bottle,0.2226373667743596,13.239712947319651,65.11045583874593,0.5,240
bus,0.4682668917119122,46.83862328735982,33.60997416552479,0.5,183
car,0.45740110149897023,54.39467449191161,65.24251412229695,0.5,775
cat,0.5101079520906074,57.71557022155328,44.86313060221935,0.5,332
chair,0.25331785856629646,16.039630801545034,15.405896546119804,0.5,545
cow,0.47401189088579754,55.28074196648808,65.66351765083726,0.5,127
diningtable,0.4942762879322632,48.46125685029089,28.16582885608976,0.5,247
dog,0.4666322454942414,44.701290128829875,63.36382648079667,0.5,433
horse,0.5083865823867098,60.5433072603642,70.0912278770388,0.5,279
motorbike,0.48914414395596806,48.35181354696043,30.492577328300037,0.5,233
person,0.35751844519666093,27.737387410902837,11.234734032522882,0.5,2097
pottedplant,0.2502891121454947,21.243717038649475,9.955766921043084,0.5,254
sheep,0.4787020467799197,50.58918984415749,64.88736343078394,0.5,98
sofa,0.4002544376154288,37.87539196478518,18.160269429643343,0.5,355
train,0.5426828788213959,61.59479394467311,68.01991975339423,0.5,259
tvmonitor,0.24305321812313746,14.587490709182166,64.34316709887847,0.5,255
mAp,44.71309782983092,44.71309782983092,44.71309782983092,44.71309782983092,44.71309782983092
