,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.5794765591853025,75.30777668308592,74.36571627118333,0.5,205
bicycle,0.4684664870014609,47.74525105017874,27.611004561448116,0.5,250
bird,0.4867984916085718,48.55572066289379,35.645918007161406,0.5,289
boat,0.42361767262390937,42.67267789929159,61.544352437121916,0.5,176
bottle,0.2578427681647248,24.877371380908684,14.714028377450314,0.5,240
bus,0.5203852123435515,53.472514913213544,34.187345098390516,0.5,183
car,0.44156207056804747,46.821588715943335,64.19117623387031,0.5,775
cat,0.5199072381308384,58.397987944482374,43.86421287069561,0.5,332
chair,0.29498756324298875,19.017252215144346,4.667937525870293,0.5,545
cow,0.49537181312518996,61.39306432513097,62.79451567144191,0.5,127
diningtable,0.51817194382265,54.075720046483134,73.39982391720147,0.5,247
dog,0.4706032095690578,44.11948577695073,24.750910877434375,0.5,433
horse,0.5900529131075035,77.23362201584396,81.1249058998646,0.5,279
motorbike,0.5280871897177197,67.95244460472631,71.83293412647541,0.5,233
person,0.4122110284052137,38.055332670787536,16.206520985300454,0.5,2097
pottedplant,0.27345300440112014,19.19088514141738,5.2878805917864735,0.5,254
sheep,0.46173203304480576,41.10029084455826,22.4944985179258,0.5,98
sofa,0.5140818703651036,50.77392219250195,65.44419036226577,0.5,355
train,0.5798061785764246,66.91152603936712,76.25803610830849,0.5,259
tvmonitor,0.28214638050439317,14.465060960734997,2.8725349503532027,0.5,255
mAp,43.162922169577485,43.162922169577485,43.162922169577485,43.162922169577485,43.162922169577485
