,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.553684647603559,67.71292722537208,70.64885780268827,0.5,205
bicycle,0.40460660943750776,36.771821428779475,19.17478568560133,0.5,250
bird,0.42766569792227754,41.29406255000581,60.2367520784632,0.5,289
boat,0.40511400088859373,39.200519813029366,30.108652523712653,0.5,176
bottle,0.22042873823547077,11.146549692995562,2.4153263811292134,0.5,240
bus,0.4892008220147369,54.02145358287716,37.841705662387085,0.5,183
car,0.43513652134666436,45.03093876479627,23.552585070495258,0.5,775
cat,0.5220980882905977,49.71332518146615,75.20412977210043,0.5,332
chair,0.2511358097758351,16.06054788866859,3.2466052784612365,0.5,545
cow,0.4345194832062338,45.50912928837846,61.21466900370136,0.5,127
diningtable,0.4697107793023905,50.890538459472864,63.29712474543177,0.5,247
dog,0.475698563225925,51.06575243050743,37.4555715708574,0.5,433
horse,0.4789165963135746,42.77181400207683,21.55864474777099,0.5,279
motorbike,0.439034934192045,38.6807376793962,22.236920116071822,0.5,233
person,0.35454294687343113,28.858408171184486,9.052067183235222,0.5,2097
pottedplant,0.22609134600553343,13.654450697719733,4.032191783309136,0.5,254
sheep,0.4701354732048381,47.1210364831835,29.582306602503287,0.5,98
sofa,0.42201860142454933,37.55633838692473,63.83715388198388,0.5,355
train,0.5378424106526061,61.38097114806319,67.80333118442022,0.5,259
tvmonitor,0.23723824232382126,11.2950997006645,1.8806633968736455,0.5,255
mAp,35.219002223559876,35.219002223559876,35.219002223559876,35.219002223559876,35.219002223559876
