,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.4145815142232446,44.072465783507354,60.17452553103511,0.5,205
bicycle,0.39782014977400115,32.46917874315456,14.007300686389481,0.5,250
bird,0.39294607771365525,32.94512635834997,13.502087103789872,0.5,289
boat,0.3384097527660455,26.09308438586273,60.00811153841369,0.5,176
bottle,0.22240850175809943,10.508797105164705,4.337407880438873,0.5,240
bus,0.41533653317404656,34.69459907079288,70.08217582918338,0.5,183
car,0.3710390166061731,32.16306531121794,60.07332997518744,0.5,775
cat,0.400507569260508,33.24206260663653,68.70300064771008,0.5,332
chair,0.2542086924500333,13.592734827054482,15.339778074602506,0.5,545
cow,0.4154630082278938,26.79613470214856,12.74283938035881,0.5,127
diningtable,0.4248298460659422,43.35563476111381,65.05611602276146,0.5,247
dog,0.4044202691345549,34.5474367921562,18.43746739926418,0.5,433
horse,0.46405070746862465,48.106520907095785,64.33778267822304,0.5,279
motorbike,0.43405292766004816,38.92316673860278,20.97364960208441,0.5,233
person,0.3555136066764304,26.13965253886288,67.82896390777941,0.5,2097
pottedplant,0.2349100331215477,12.576279133142837,65.15795495600302,0.5,254
sheep,0.40361516266358727,34.07110376209575,69.20934931604675,0.5,98
sofa,0.4317647041945319,41.27050639954894,20.923024977818535,0.5,355
train,0.4188182168789903,31.601827611633798,12.53290648148642,0.5,259
tvmonitor,0.2571460016528006,8.434230251703408,1.2132732858204893,0.5,255
mAp,39.23205226371985,39.23205226371985,39.23205226371985,39.23205226371985,39.23205226371985
