,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.6108282605896129,73.01209928906212,76.41434441916543,0.5,205
bicycle,0.47795667531087815,47.7279709742227,25.65739132210634,0.5,250
bird,0.48655997216388847,50.10542538962861,64.25354729993617,0.5,289
boat,0.4019588681253458,32.88768916012879,18.291003113652284,0.5,176
bottle,0.2578626464557864,16.16152225716981,4.143756295182418,0.5,240
bus,0.5632064602296354,70.6150992425287,74.56503192888307,0.5,183
car,0.4635185951990125,46.54720879496026,67.88739391225666,0.5,775
cat,0.5207620658019628,55.75969716067066,73.12360723679706,0.5,332
chair,0.26800461174749224,13.914544311775181,4.052625302622636,0.5,545
cow,0.4791276933678902,56.58115959016147,64.27018505680817,0.5,127
diningtable,0.47673593953855725,45.50360735373016,34.06767837785556,0.5,247
dog,0.4970123173930221,50.014799711397906,29.808193526945352,0.5,433
horse,0.6051911595278967,78.40680227665119,82.70033950846965,0.5,279
motorbike,0.5340770930764693,63.32389755410863,73.88317380355106,0.5,233
person,0.4265828295479029,42.002767963453756,38.79612829906477,0.5,2097
pottedplant,0.2623380632153378,13.28351424002082,6.642803825332853,0.5,254
sheep,0.5025794239837275,50.11625228040263,68.86274582363049,0.5,98
sofa,0.4888212854730645,38.503021433672465,21.282671328719395,0.5,355
train,0.5512099896903818,63.04549818530817,52.906752732205355,0.5,259
tvmonitor,0.3063892871714946,20.7695573435625,55.65467441663405,0.5,255
mAp,46.86320237649094,46.86320237649094,46.86320237649094,46.86320237649094,46.86320237649094
