,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.5851554726627132,69.39617267744906,73.96951735301379,0.5,205
bicycle,0.4930664036483698,54.06868786917652,65.2318252065475,0.5,250
bird,0.4651384352391629,42.52481182203285,22.628973852832708,0.5,289
boat,0.39656456988353456,23.70261552859495,9.248189321423911,0.5,176
bottle,0.22505523940279665,15.684687185541016,6.7276740796933,0.5,240
bus,0.518991228859049,56.148973603570184,35.30792516512442,0.5,183
car,0.4766479944238673,46.563210663482465,29.961264427612456,0.5,775
cat,0.5146510343386715,53.75014585447334,34.38632834075585,0.5,332
chair,0.2875217559886913,7.781069799799916,1.2396394551903045,0.5,545
cow,0.47408179831504055,41.93878397191368,22.60608896672743,0.5,127
diningtable,0.5034616036997646,51.45504550877802,67.85585742858248,0.5,247
dog,0.49284809380417294,46.884964096469474,25.234584382071905,0.5,433
horse,0.5586983596690038,71.85928132881475,69.23446552084955,0.5,279
motorbike,0.5040701577872396,50.65050779714966,32.52540576543306,0.5,233
person,0.4249231395445084,39.8216215728437,20.77488194219712,0.5,2097
pottedplant,0.2741078357281853,14.772353229432891,58.91583842671275,0.5,254
sheep,0.47804886200497215,46.68915556414245,70.0246142336897,0.5,98
sofa,0.46651947060694277,43.49328136115105,23.125298585734196,0.5,355
train,0.5487573291470584,57.65498973692207,42.87981079915885,0.5,259
tvmonitor,0.2808802902694633,13.430445916516035,2.7227260507313042,0.5,255
mAp,35.73004546520413,35.73004546520413,35.73004546520413,35.73004546520413,35.73004546520413
