,average_iou,average_precision,average_precision_voc,iou_threshold,num_images
aeroplane,0.5501650061794028,67.01429115358285,70.82709554849154,0.5,205
bicycle,0.48462102983581723,47.67088738166782,30.299265604819368,0.5,250
bird,0.45896577634144514,41.33156994060606,72.06861539308743,0.5,289
boat,0.38457411472135256,22.476112342659007,17.72480321803366,0.5,176
bottle,0.20702393199047406,15.209071496675447,19.87510434034477,0.5,240
bus,0.49298220877726345,60.71444738986476,49.343252305281545,0.5,183
car,0.4668518277174263,46.97898143358062,63.87190585553192,0.5,775
cat,0.5078809110452058,53.96535227545861,66.88448805080942,0.5,332
chair,0.2735738233565677,10.506817532241035,6.232979816518969,0.5,545
cow,0.4365333831743287,41.680729450888265,21.620917934682094,0.5,127
diningtable,0.4712335691288791,44.89151829795547,33.40882131433047,0.5,247
dog,0.48166853419253575,49.71745912706042,66.04829178612093,0.5,433
horse,0.526627825378496,68.92646428820309,70.07135581872971,0.5,279
motorbike,0.4892103786499315,50.12476081205399,72.60753200547111,0.5,233
person,0.38678536529346785,32.92480056126788,22.35169533816674,0.5,2097
pottedplant,0.2660633904221975,15.586128719706746,7.199807277328427,0.5,254
sheep,0.4852779104619687,44.501048721081546,44.3998129861946,0.5,98
sofa,0.4497141269306785,41.14221428211444,21.474860863830227,0.5,355
train,0.5244530740240263,55.128009022061065,72.08202122873924,0.5,259
tvmonitor,0.277402956510576,16.74615084686535,14.098592851114574,0.5,255
mAp,42.124560976881334,42.124560976881334,42.124560976881334,42.124560976881334,42.124560976881334
